Well,Cell_cnt,Large_nuc_ratio,Nofoci_cell_cnt,Nofoci_cell_ratio,Green_cell_cnt,Red_cell_cnt,Mean_green_foci_cnt,Mean_red_foci_cnt,Green_1foci_ratio,Green_2foci_ratio,Green_3_foci_ratio,Green_4foci_ratio,Green_5+foci_ratio,Red_1foci_ratio,Red_2foci_ratio,Red_3_foci_ratio,Red_4foci_ratio,Red_5+foci_ratio,Green_far_foci_ratio,Red_far_foci_ratio,Total_far_foci_ratio,1R1G_nuc_ratio,1R1G_touch_nuc_ratio,Avg_Green_mean_dist,Avg_Green_std_dist,Max_Green_mean_dist,Max_Green_std_dist,Avg_Red_mean_dist,Avg_Red_std_dist,Max_Red_mean_dist,Max_Red_std_dist,Avg_All_mean_dist,Avg_All_std_dist,Max_All_mean_dist,Max_All_std_dist,Avg_RG_mean_dist,Avg_RG_std_dist,Min_RG_mean_dist,Min_RG_std_dist,Max_RG_mean_dist,Max_RG_std_dist,Avg_green_periphery_mean_dist,Avg_green_periphery_std_dist,Min_green_periphery_mean_dist,Min_green_periphery_std_dist,Avg_red_periphery_mean_dist,Avg_red_periphery_std_dist,Min_red_periphery_mean_dist,Min_red_periphery_std_dist,Avg_Green_mean_dist_norm,Avg_Green_std_dist_norm,Max_Green_mean_dist_norm,Max_Green_std_dist_norm,Avg_Red_mean_dist_norm,Avg_Red_std_dist_norm,Max_Red_mean_dist_norm,Max_Red_std_dist_norm,Avg_All_mean_dist_norm,Avg_All_std_dist_norm,Max_All_mean_dist_norm,Max_All_std_dist_norm,Avg_RG_mean_dist_norm,Avg_RG_std_dist_norm,Min_RG_mean_dist_norm,Min_RG_std_dist_norm,Max_RG_mean_dist_norm,Max_RG_std_dist_norm,Avg_green_periphery_mean_dist_norm,Avg_green_periphery_std_dist_norm,Min_green_periphery_mean_dist_norm,Min_green_periphery_std_dist_norm,Avg_red_periphery_mean_dist_norm,Avg_red_periphery_std_dist_norm,Min_red_periphery_mean_dist_norm,Min_red_periphery_std_dist_norm
R1C1,789,0.10276,262,0.24929,634,695,1.194,1.3842,0.82334,0.15931,0.01735,0,0,0.67482,0.27338,0.044604,0.0071942,0,0.0347,0.041727,0.042816,0.28164,0.36824,0.42324,1.0044,0.43875,1.0455,0.75324,1.172,0.80272,1.2884,1.414,1.0717,1.6952,1.4,1.8501,0.79651,1.5077,0.80181,2.2031,1.1057,1.2195,0.6313,1.1473,0.65534,1.3363,0.58954,1.2013,0.62994,0.063585,0.14849,0.065829,0.15419,0.11448,0.17698,0.12178,0.19345,0.22081,0.16523,0.26336,0.21152,0.28907,0.12135,0.23742,0.1274,0.34227,0.16176,0.38308,0.19294,0.36146,0.20218,0.41898,0.17707,0.37798,0.19264
R1C2,747,0.056015,342,0.31405,587,637,1.1516,1.3171,0.86031,0.12947,0.0085179,0.0017036,0,0.73155,0.22606,0.037677,0.0031397,0.0015699,0.010221,0.034537,0.023875,0.26997,0.34354,0.29146,0.78353,0.29958,0.81837,0.59667,1.0622,0.6341,1.167,1.2284,1.0389,1.4246,1.2905,1.7557,0.76795,1.5072,0.78752,2.007,0.96991,1.13,0.59066,1.0741,0.60557,1.1635,0.58712,1.0482,0.61231,0.045923,0.12172,0.046999,0.12516,0.092436,0.16231,0.097737,0.1752,0.19598,0.16192,0.2263,0.19729,0.28,0.1151,0.24189,0.12301,0.31863,0.13964,0.36336,0.18327,0.34564,0.18872,0.37253,0.17789,0.337,0.18875
R1C3,631,0.079158,367,0.36774,507,544,1.1854,1.3051,0.8284,0.15779,0.013807,0,0,0.73897,0.21875,0.040441,0.0018382,0,0.021696,0.033088,0.028056,0.2495,0.28916,0.37935,0.88105,0.39057,0.91064,0.54938,0.9875,0.58421,1.072,1.3529,1.0601,1.5786,1.3142,1.8822,0.79558,1.6012,0.81468,2.1612,1.0125,1.198,0.64283,1.1254,0.65651,1.3257,0.61832,1.2166,0.64227,0.057703,0.13388,0.05937,0.13824,0.084171,0.14949,0.089265,0.16129,0.21408,0.16623,0.24826,0.20131,0.2966,0.12297,0.25416,0.12935,0.33859,0.14985,0.38032,0.1976,0.35832,0.20409,0.41927,0.18602,0.38598,0.19677
R1C4,190,0.078689,115,0.37705,143,174,1.0769,1.2184,0.93007,0.062937,0.006993,0,0,0.81034,0.16667,0.017241,0.0057471,0,0.006993,0.017241,0.0098361,0.30164,0.58696,0.15102,0.58065,0.15735,0.61995,0.40003,0.89531,0.41494,0.94431,1.0144,0.88698,1.1571,1.108,1.4153,0.67775,1.215,0.64461,1.6335,0.9553,1.1504,0.59723,1.1102,0.592,1.3445,0.50735,1.2851,0.53521,0.02765,0.10982,0.028889,0.11778,0.069685,0.15678,0.072188,0.16426,0.17886,0.15886,0.20411,0.19901,0.24891,0.12503,0.21454,0.11777,0.28628,0.17141,0.39939,0.20716,0.38442,0.20193,0.46488,0.1792,0.44443,0.18666
R1C5,716,0.058878,371,0.34131,565,599,1.131,1.3356,0.87965,0.10973,0.010619,0,0,0.72287,0.22871,0.038397,0.010017,0,0.015929,0.025042,0.021159,0.25575,0.28777,0.26854,0.77887,0.27746,0.81009,0.5615,0.97221,0.59292,1.0516,1.307,1.0942,1.5022,1.3115,1.8577,0.82281,1.6025,0.85667,2.1153,0.9994,1.0915,0.61663,1.0425,0.62502,1.2472,0.58202,1.1225,0.61628,0.042878,0.12537,0.04442,0.13143,0.091344,0.15934,0.096483,0.17343,0.21376,0.17869,0.24526,0.214,0.30385,0.13281,0.26254,0.13812,0.34579,0.16414,0.35692,0.1946,0.34136,0.19799,0.40776,0.1828,0.36734,0.1952
R1C6,222,0.02799,171,0.43511,173,195,1.1214,1.1846,0.87861,0.12139,0,0,0,0.8359,0.14359,0.020513,0,0,0.0057803,0.020513,0.012723,0.26209,0.52427,0.23926,0.69569,0.23926,0.69569,0.36435,0.88583,0.37462,0.91423,0.97984,0.8715,1.1082,1.0517,1.3432,0.6111,1.1746,0.59648,1.5065,0.77498,1.1219,0.55034,1.0904,0.55901,1.3186,0.47693,1.2572,0.49878,0.042631,0.12464,0.042631,0.12464,0.062428,0.15017,0.064022,0.15373,0.17294,0.15081,0.19466,0.17899,0.23789,0.10313,0.2083,0.10194,0.26629,0.13081,0.39709,0.18645,0.38544,0.18916,0.47958,0.18544,0.45841,0.19502
R1C7,190,0.067524,121,0.38907,154,178,1.1688,1.2079,0.85065,0.12987,0.019481,0,0,0.80899,0.17416,0.016854,0,0,0.025974,0.016854,0.019293,0.3119,0.51546,0.31926,0.7868,0.34052,0.8691,0.40223,0.87642,0.40856,0.88915,1.1723,0.88314,1.3455,1.1073,1.4788,0.66152,1.2766,0.6808,1.6944,0.88797,1.1029,0.60842,1.0512,0.61329,1.4052,0.52837,1.3383,0.55624,0.051034,0.12744,0.054422,0.14132,0.065827,0.14621,0.066716,0.14765,0.19553,0.14622,0.22344,0.182,0.24635,0.10686,0.2135,0.11187,0.28139,0.14436,0.36799,0.20129,0.35149,0.2054,0.47259,0.17134,0.45149,0.18342
R1C8,655,0.035242,480,0.42291,500,555,1.146,1.2919,0.856,0.142,0.002,0,0,0.74234,0.22523,0.030631,0.0018018,0,0.004,0.016216,0.0096916,0.21762,0.29555,0.30057,0.78289,0.30292,0.79249,0.51233,0.92381,0.53519,0.97421,1.249,1.037,1.4276,1.2282,1.7718,0.72885,1.55,0.77698,1.9995,0.87644,1.1187,0.64278,1.0522,0.66229,1.2304,0.56173,1.1357,0.58228,0.048247,0.12442,0.048643,0.12614,0.082012,0.14695,0.085659,0.15499,0.20508,0.16873,0.23361,0.19734,0.2917,0.11813,0.25646,0.12824,0.32791,0.13772,0.36877,0.2048,0.3472,0.21258,0.4065,0.17968,0.37619,0.1885
R1C9,604,0.034483,440,0.42146,495,448,1.1293,1.3103,0.87677,0.11717,0.0060606,0,0,0.73661,0.22098,0.037946,0.0044643,0,0.014141,0.026786,0.017241,0.19636,0.39024,0.27701,0.78879,0.2794,0.79521,0.5543,1.0034,0.59152,1.0944,1.0757,1.0532,1.2674,1.3043,1.7304,0.78147,1.4572,0.80783,2.0174,0.99927,1.0618,0.61615,1.0008,0.62409,1.2692,0.57202,1.1716,0.60847,0.044387,0.12481,0.044752,0.12574,0.088259,0.15857,0.093916,0.17158,0.1764,0.17076,0.20708,0.2095,0.2845,0.12722,0.2409,0.13375,0.33009,0.15734,0.35296,0.20333,0.33371,0.20733,0.41514,0.1764,0.38436,0.19096
R1C10,455,0.039189,285,0.38514,359,395,1.1476,1.2127,0.86072,0.13092,0.0083565,0,0,0.81266,0.16962,0.01519,0,0.0025316,0.013928,0.0050633,0.0094595,0.26892,0.37688,0.31231,0.8553,0.31982,0.8805,0.34627,0.74695,0.35918,0.7855,1.135,0.99292,1.2986,1.2077,1.6564,0.79268,1.4529,0.776,1.8618,0.96636,0.97643,0.60401,0.90865,0.61103,1.2949,0.54494,1.2229,0.56825,0.050534,0.1334,0.051643,0.13688,0.056901,0.12272,0.058923,0.12838,0.19099,0.16376,0.21747,0.19505,0.27793,0.12686,0.24523,0.12841,0.3109,0.14899,0.32901,0.1991,0.30713,0.20362,0.43462,0.17067,0.41121,0.18156
