Plate,Well,Cell_cnt,Large_nuc_ratio,Nofoci_cell_cnt,Nofoci_cell_ratio,Green_cell_cnt,Red_cell_cnt,Mean_green_foci_cnt,Mean_red_foci_cnt,Green_1foci_ratio,Green_2foci_ratio,Green_3_foci_ratio,Green_4foci_ratio,Green_5+foci_ratio,Red_1foci_ratio,Red_2foci_ratio,Red_3_foci_ratio,Red_4foci_ratio,Red_5+foci_ratio,Green_far_foci_ratio,Red_far_foci_ratio,Total_far_foci_ratio,1R1G_nuc_ratio,1R1G_touch_nuc_ratio,Avg_Green_mean_dist,Avg_Green_std_dist,Max_Green_mean_dist,Max_Green_std_dist,Avg_Red_mean_dist,Avg_Red_std_dist,Max_Red_mean_dist,Max_Red_std_dist,Avg_All_mean_dist,Avg_All_std_dist,Max_All_mean_dist,Max_All_std_dist,Avg_RG_mean_dist,Avg_RG_std_dist,Min_RG_mean_dist,Min_RG_std_dist,Max_RG_mean_dist,Max_RG_std_dist,Avg_green_periphery_mean_dist,Avg_green_periphery_std_dist,Min_green_periphery_mean_dist,Min_green_periphery_std_dist,Avg_red_periphery_mean_dist,Avg_red_periphery_std_dist,Min_red_periphery_mean_dist,Min_red_periphery_std_dist,Avg_Green_mean_dist_norm,Avg_Green_std_dist_norm,Max_Green_mean_dist_norm,Max_Green_std_dist_norm,Avg_Red_mean_dist_norm,Avg_Red_std_dist_norm,Max_Red_mean_dist_norm,Max_Red_std_dist_norm,Avg_All_mean_dist_norm,Avg_All_std_dist_norm,Max_All_mean_dist_norm,Max_All_std_dist_norm,Avg_RG_mean_dist_norm,Avg_RG_std_dist_norm,Min_RG_mean_dist_norm,Min_RG_std_dist_norm,Max_RG_mean_dist_norm,Max_RG_std_dist_norm,Avg_green_periphery_mean_dist_norm,Avg_green_periphery_std_dist_norm,Min_green_periphery_mean_dist_norm,Min_green_periphery_std_dist_norm,Avg_red_periphery_mean_dist_norm,Avg_red_periphery_std_dist_norm,Min_red_periphery_mean_dist_norm,Min_red_periphery_std_dist_norm
P1C6,R1C1,845,0.03876,316,0.27218,661,745,1.1437,1.349,0.8593,0.13767,0.0030257,0,0,0.69664,0.25906,0.042953,0.0013423,0,0.0045386,0.020134,0.015504,0.27132,0.34921,0.29237,0.75874,0.29365,0.76172,0.63867,1.035,0.66823,1.0927,1.3574,1.0688,1.5945,1.3107,1.8222,0.80961,1.5331,0.81155,2.1154,1.0085,1.0666,0.61431,1.0075,0.62763,1.3319,0.56622,1.2059,0.61252,0.047491,0.12379,0.047693,0.12425,0.10081,0.1619,0.10531,0.1704,0.22017,0.17039,0.25776,0.20691,0.29519,0.1254,0.24926,0.12945,0.34181,0.15486,0.34817,0.19492,0.32921,0.19993,0.43327,0.17501,0.3936,0.19372
P1C6,R1C2,709,0.073308,355,0.33365,549,591,1.1603,1.3181,0.84517,0.15118,0.0018215,0.0018215,0,0.7445,0.19628,0.055838,0.0033841,0,0.018215,0.025381,0.021617,0.23966,0.32941,0.35307,0.89105,0.35796,0.91218,0.55102,1.0077,0.59686,1.1157,1.2889,1.1424,1.4959,1.3823,1.886,0.87251,1.5994,0.88666,2.1687,1.0873,1.0982,0.65316,1.0368,0.6691,1.3179,0.605,1.2074,0.63606,0.056095,0.14173,0.056825,0.14452,0.087636,0.16141,0.094633,0.17696,0.20711,0.18214,0.23995,0.21938,0.30165,0.13582,0.25608,0.13901,0.34643,0.16879,0.3541,0.20372,0.33464,0.21027,0.42251,0.18313,0.38763,0.19646
P1C6,R1C3,668,0.047714,338,0.33598,529,554,1.1777,1.2978,0.83176,0.15879,0.0094518,0,0,0.73646,0.23105,0.030686,0.0018051,0,0.0037807,0.021661,0.013917,0.23757,0.30126,0.35971,0.84028,0.36761,0.8583,0.58409,1.0474,0.60725,1.0988,1.2935,1.1057,1.5085,1.3427,1.8756,0.84153,1.598,0.85982,2.1598,1.0248,1.0533,0.62756,0.98208,0.64005,1.2918,0.60486,1.1865,0.63714,0.056165,0.13,0.05734,0.13253,0.092127,0.16485,0.095444,0.17122,0.20674,0.17517,0.24041,0.21073,0.29966,0.13136,0.25619,0.13675,0.34409,0.15696,0.33747,0.19576,0.31542,0.20197,0.41224,0.18356,0.37921,0.19624
P1C6,R1C4,642,0.057057,357,0.35736,493,538,1.144,1.3197,0.86815,0.11968,0.01217,0,0,0.73048,0.22305,0.042751,0.0037175,0,0.014199,0.026022,0.02002,0.23323,0.27468,0.29517,0.82699,0.30459,0.86146,0.56731,1.0161,0.59796,1.0808,1.2786,1.1702,1.4737,1.3705,1.8955,0.88214,1.614,0.94522,2.1763,1.0292,1.0839,0.66872,1.0186,0.68433,1.3313,0.57872,1.2126,0.61952,0.047584,0.13199,0.049019,0.13702,0.089614,0.15986,0.094349,0.16951,0.20536,0.18672,0.2362,0.21701,0.30314,0.13652,0.25869,0.14886,0.34753,0.15781,0.34696,0.2078,0.32605,0.21341,0.42678,0.17514,0.38944,0.19007
P1C6,R1C5,509,0.058242,401,0.44066,408,413,1.1299,1.2591,0.8799,0.11029,0.0098039,0,0,0.76513,0.21308,0.01937,0.0024213,0,0.012255,0.024213,0.015385,0.22418,0.31373,0.25668,0.74551,0.26271,0.76633,0.5281,1.027,0.54625,1.0712,1.2592,1.1435,1.4382,1.353,1.8877,0.8754,1.6467,0.91649,2.1363,1.0333,1.0615,0.67304,1.0083,0.68262,1.3571,0.61375,1.2563,0.6335,0.039693,0.11552,0.040643,0.11888,0.08257,0.16003,0.085049,0.16514,0.20196,0.18472,0.22952,0.21424,0.30382,0.14403,0.26616,0.1525,0.34236,0.16372,0.34213,0.2197,0.32551,0.22362,0.43329,0.18931,0.40247,0.20025
P1C6,R1C6,576,0.058648,430,0.42744,459,447,1.146,1.3043,0.85839,0.13725,0.0043573,0,0,0.75391,0.19687,0.040268,0.0089485,0,0.021786,0.020134,0.017893,0.20179,0.33005,0.32271,0.84393,0.3257,0.85184,0.51647,0.95488,0.55008,1.0286,1.2142,1.1322,1.3979,1.356,1.8818,0.88336,1.6093,0.89214,2.1554,1.0911,1.1013,0.68796,1.0407,0.69605,1.2669,0.59071,1.1622,0.61092,0.050547,0.13112,0.050949,0.13199,0.079752,0.14659,0.084747,0.15699,0.19423,0.17943,0.22276,0.21193,0.30126,0.13751,0.25893,0.14215,0.34377,0.16623,0.35285,0.21292,0.33358,0.21728,0.40569,0.1797,0.37336,0.18935
P1C6,R1C7,574,0.063959,411,0.41726,447,472,1.1477,1.2712,0.8613,0.13199,0.0044743,0.0022371,0,0.75424,0.22246,0.021186,0.0021186,0,0.0089485,0.03178,0.019289,0.21523,0.25943,0.29717,0.77243,0.30173,0.7871,0.54817,1.0373,0.56628,1.0805,1.284,1.1534,1.4719,1.3568,1.9161,0.89346,1.6363,0.96864,2.2017,1.053,1.0111,0.64113,0.94025,0.65427,1.3308,0.57851,1.222,0.61483,0.046479,0.12147,0.047148,0.12346,0.085072,0.15785,0.087992,0.16519,0.20732,0.18479,0.23634,0.21315,0.30898,0.14205,0.26591,0.15721,0.35287,0.1603,0.32754,0.20231,0.30557,0.20798,0.43102,0.17789,0.39744,0.19356
P1C6,R1C8,199,0.046012,127,0.38957,138,185,1.1014,1.2054,0.89855,0.10145,0,0,0,0.81622,0.16216,0.021622,0,0,0,0.010811,0.006135,0.27607,0.42222,0.20764,0.64725,0.20764,0.64725,0.35528,0.79421,0.3634,0.8136,1.1098,0.93657,1.2296,1.0849,1.5811,0.66184,1.43,0.67408,1.7374,0.79568,1.0452,0.65161,1.0074,0.66489,1.3871,0.53479,1.3268,0.5612,0.040026,0.12756,0.040026,0.12756,0.069049,0.15815,0.07067,0.16204,0.20283,0.17264,0.22552,0.20367,0.28652,0.12372,0.25716,0.12098,0.31634,0.15559,0.37495,0.22754,0.3605,0.23252,0.51006,0.20605,0.48675,0.21371
P1C6,R1C9,679,0.034918,352,0.34142,559,571,1.1377,1.2697,0.86404,0.13417,0.0017889,0,0,0.75832,0.21541,0.024518,0.0017513,0,0.0089445,0.017513,0.014549,0.28516,0.28571,0.27764,0.75183,0.27846,0.75373,0.49869,0.94336,0.51429,0.97582,1.3019,1.0839,1.4785,1.2622,1.8221,0.8365,1.6059,0.87945,2.0439,0.97108,1.0178,0.69122,0.96378,0.70088,1.2711,0.57452,1.1789,0.59479,0.04506,0.12055,0.045186,0.12083,0.081841,0.15472,0.084692,0.16155,0.21568,0.18025,0.2447,0.20911,0.30242,0.1419,0.26692,0.14887,0.33878,0.16249,0.33539,0.22154,0.3176,0.22474,0.42164,0.18371,0.39139,0.19189
P1C6,R1C10,536,0.055789,414,0.43579,439,425,1.1412,1.2494,0.86788,0.12301,0.0091116,0,0,0.77412,0.20235,0.023529,0,0,0.018223,0.0070588,0.011579,0.22316,0.3066,0.29251,0.80808,0.2989,0.82938,0.42823,0.82374,0.44217,0.86747,1.1951,1.0794,1.3621,1.2813,1.8402,0.82064,1.6247,0.84584,2.0613,0.97066,1.0478,0.66018,0.98648,0.66888,1.3086,0.57884,1.217,0.60533,0.048298,0.13594,0.0493,0.13916,0.069883,0.13462,0.072024,0.14076,0.19584,0.17763,0.22315,0.21052,0.30142,0.13497,0.26581,0.13808,0.33779,0.1609,0.34335,0.21419,0.32337,0.21757,0.42616,0.17968,0.39627,0.18917
